topic,格式,含义,坐标系,说明,帧率
/frame_pose_cloud,sensor_msgs::PointCloud2,关键帧位置点云,map,每个点表示关键帧的位置，intensity表示关键帧的ID,随关键帧更新
/key_pose_path,nav_msgs::Path,关键帧轨迹,map,关键帧轨迹,随关键帧更新
/latest_imu_odom,nav_msgs::Odometry,imu高频位姿,map-->imu,"imu坐标系下的高频位姿，可作为定位位姿； 
其中协方差的第一个值covariance[0]表示定位方差，范围0.0-0.99（小于0.1表示定位精度较高，0.99表示定位失败）；",200hz
/lidar_pose,geometry_msgs::PoseWithCovarianceStamped,雷达位姿,map-->lidar,激光雷达坐标系下的低频位姿,5hz
/color_cloud,sensor_msgs::PointCloud2,当前帧彩色点云,map,当前帧彩色点云，已经过图像投影融合，带有RGB彩色信息,随关键帧更新
/surf_cloud_in_map,sensor_msgs::PointCloud2,降采样后的激光点云,map,已进行降采样，经过畸变校正，转到地图坐标系下,5hz
/surround_map_cloud,sensor_msgs::PointCloud2,局部地图点云,map,"建图模式下，表示当前位姿附近的局部地图点云；
定位模式下，表示全局点云地图，只在定位启动时发布一次；","建图模式，随关键帧更新；
定位模式，只在定位启动时发布一次；"
/loop_edge,visualization_msgs::MarkerArray,回环连接,map,回环检测和优化成功后，回环关键帧之间的连接边,随回环检测更新
/occ_cloud_in_map,sensor_msgs::PointCloud2,2D避障点云,map,将激光雷达周围的点云进行投影压缩，生成2d避障点云，且经过重力对齐到水平面，可用来避障,5hz
/occ_map,nav_msgs::OccupancyGrid,2d占据栅格地图,map,2d占据栅格地图，和点云地图对齐，可用来做路径规划和避障,随关键帧更新
/tf,tf::TransformBroadcaster,tf坐标变换,map,各个坐标系之间的变换,200hz
cam_cloud_0,sensor_msgs::PointCloud2,前视相机的彩色点云,map,投影到前视相机的彩色点云，已和前视图片的FOV和时间戳严格对齐；用于3dgs重建；,随关键帧更新
cam_image_0,sensor_msgs::Image,前视相机的图片,map,前视相机的图片，已经过畸变校正，已解码；用于3dgs重建；,随关键帧更新
cam_pose_0,geometry_msgs::PoseStamped,前视相机的位姿,map,前视相机的位姿；用于3dgs重建；,随关键帧更新
/livox/imu,sensor_msgs::Imu,原始imu数据,imu,原始imu数据,200hz
/livox/lidar,livox_ros_driver::CustomMsg,原始激光点云数据,lidar,原始激光点云数据,10hz
/image_right0,sensor_msgs::Image,原始前视相机图片,camera,原始相机图片，mjpg压缩格式；,10hz
/image_right2,sensor_msgs::Image,原始左视相机图片,camera,原始相机图片，mjpg压缩格式；,10hz
/image_right4,sensor_msgs::Image,原始右视相机图片,camera,原始相机图片，mjpg压缩格式；,10hz
/rtk/gnss,sensor_msgs::NavSatFix,原始RTK数据,RTK,原始RTK数据,10hz
